#,dist(asec),prob_member,link_ref,link_comment,identifier,typ,coord1_(ICRS_J2000/2000),Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,#bib,#not,RA,Dec
140,140.0,100,2008ApJ...682.1217K,B,[KGS2008] J195352.3+184452,RG*,19 53 52.3 +18 44 52,~,14.29,13.29,~,12.16,~,1,0,298.467916666,18.7477777777
141,141.15,100,2008ApJ...682.1217K,B,[KGS2008] J195340.1+184457,RG*,19 53 40.1 +18 44 57,~,15.88,14.97,~,13.94,~,1,0,298.417083333,18.7491666666
142,164.0,100,2009A&A...505..117C,B,2MASS J19533961+1844333,RG*,19 53 39.619 +18 44 33.30,~,14.91,13.97,~,12.89,~,2,0,298.415079166,18.7425833333
143,76.08,50,2010A&A...513A..16H,S,[HBE2010] s14c,?,19 53 47.47 +18 47 59.9,~,~,~,~,23.46,~,1,0,298.447791666,18.7999722222
144,63.09,100,2011AJ....141...89S,B,[SLB2011b] 298.44854+18.76227,RG*,19 53 47.65 +18 45 44.2,~,15.12,14.22,~,13.23,~,7,0,298.448541666,18.7622777777
145,71.43,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 12299,*iC,19 53 51.3 +18 47 06,~,~,~,~,~,~,1,0,298.463749999,18.785
146,76.18,20,2010A&A...513A..16H,S,[HBE2010] s14a,?,19 53 47.43 +18 48 00.1,~,~,~,~,20.87,~,1,0,298.447624999,18.8000277777
147,30.08,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 6079,*iC,19 53 48.0 +18 46 24,~,~,~,~,~,~,1,0,298.449999999,18.7733333333
148,115.46,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 6868,*iC,19 53 50.8 +18 48 23,~,~,~,~,~,~,1,0,298.461666666,18.8063888888
149,26.43,100,2001A&A...373..159C,B,Cl* NGC 6838 AH I,*iC,19 53 44.77 +18 46 35.0,~,13.94,12.38,~,~,~,23,0,298.436541666,18.7763888888
150,81.58,80,2010A&A...513A..16H,S,[HBE2010] s12,XB?,19 53 47.23 +18 48 06.0,16.40,15.60,~,~,14.82,~,1,0,298.446791666,18.8016666666
